id	name	short_name	bio	photo	racing	iowa	new_hampshire	nevada	south_carolina	alabama	overseas	arkansas	california	north_carolina	colorado	maine	massachusetts	minnesota	oklahoma	samoa	tennessee	texas	utah	vermont	virginia	north_dakota	idaho	michigan	mississippi	missouri	washington	northern_mariana_islands	arizona	florida	illinois	ohio	georgia	puerto_rico	alaska	hawai	louisiana	wyoming	wisconsin	connecticut	delaware	maryland	new_york	pennsylvania	rhode_island	guam	kansas	indiana	nebraska	west_virginia	kentucky	oregon	south_dakota	montana	new_jersey	new_mexico	washington_dc	virgin_islands	id	name	date	type	nb_delegates	title	slug	url
biden	Joe Biden	J. Biden	<ul><li>77&nbsp;ans</li> <li>Troisième candidature aux primaires (1988, 2008)</li></ul><br /> <p>Vice-président des Etats-Unis pendant huit ans, durant les deux mandats de Barack Obama (2009-2016), Joe Biden aura été le favori des sondages durant toute la campagne précédant le début effectif des primaires. Avec son profil d'homme d'Etat plutôt centriste et son expérience de trente-cinq ans comme sénateur du Delaware, Biden semble capable de glaner des voix du côté des indépendants voire des républicains qui rechigneraient à voter Trump. Et donc, selon ses partisans, de remporter l'élection.</p> <p>Mais la tâche ne s'annonce pas évidente pour autant. Dans un parti qui se renouvelle par la gauche dans la foulée de la campagne 2016 de Bernie Sanders, le positionnement modéré de Biden est loin de faire l'unanimité auprès des sympathisants démocrates. Quant aux 77&nbsp;ans de l'ex-vice-président, ils ne font pas tache dans le décor de cette primaire (Sanders et Bloomberg ont 78&nbsp;ans, Warren 70) mais feraient de lui le chef de l'Etat le plus âgé de l'histoire des Etats-Unis, devant Donald Trump…</p>	http://www.liberation.fr/photo/1291669-joe-biden.jpg?modified_at=1580761669	1	6; 15,8%	0; 8,4%	9; 20,4%	39; 48,4%	44; 63,3%		17; 40,5%	174; 28%	67; 43%	21; 24,6%	10; 34,1%	34; 33,7%	37; 38,6%	22; 38,7%	0; 8,8%	33; 41,7%	111; 34,5%	6; 17,1%	5; 22%	67; 53,3%	6; 39,9%	11; 48,8%	73; 52,9%	34; 81,1%	44; 60,1%	45; 37,8%	2; 36,4%	39; 43,6%	160; 62%	95; 59,1%																												iowa	Iowa	3/02/2020	Caucus	41	Une semaine de primaires américaines : la lettre du 20 mars	Le point hebdo	https://www.liberation.fr/planete/2020/03/20/biden-pres-du-but-coronavirus-mails-corrosifs-de-trump-une-semaine-de-primaires-democrates_1782235
bloomberg	Michael Bloomberg	M. Bloomberg	<ul><li>78&nbsp;ans</li> <li>Première candidature aux primaires</li></ul><br /> <p>C'est l'invité de dernière minute de ces primaires démocrates au casting vermeil. Alors qu'il avait un temps repoussé l'idée d'une candidature, Michael Bloomberg s'est lancé fin novembre avec une tactique audacieuse&nbsp;: faire l'impasse sur les quatre premiers scrutins pour tout miser sur le Super Tuesday du 3&bsp;mars, où 16 Etats voteront. Un coup tactique permis par sa surface financière inégalable&nbsp;: Bloomberg a investi pour sa campagne plus de 100 millions de dollars de sa fortune personnelle, la 11<sup>e</sup> plus importante au monde selon le magazine <em>Forbes</em>.</p> <p>Fondateur de la société d'informations financières Bloomberg LP, il est engagé en politique depuis vingt&nbsp;ans et son élection à la mairie de New York en&bsp;2002. Il y a enchaîné trois mandats jusqu'en&nbsp;2013, sous les couleurs du Parti républicain puis en indépendant, mais soutenu par de nombreux démocrates. Ce qui serait en quelque sorte un résumé de son positionnement politique, très centriste.</p>	http://www.liberation.fr/photo/1291670-michael-bloomberg.jpg?modified_at=1580761709	0					0; 11,7%		5; 16,7%	8; 12,3%	3; 13%	9; 18,5%	0; 12%	0; 11,8%	0; 8,3%	2; 13,9%	4; 49,9%	10; 15,4%	10; 14,4%	6; 16,9%	0; 9,4%	1; 9,7%		0; 2,4%	0; 4,6%			0; 8,2%																																new_hampshire	New Hampshire	11/02/2020	Primaire	24	Nouvelles victoires pour Biden, plus que jamais favori	Scrutins du 17 mars	https://www.liberation.fr/planete/2020/03/18/primaires-democrates-nouvelles-victoires-pour-biden-plus-que-jamais-favori_1782142
buttigieg	Pete Buttigieg	P. Buttigieg	<ul><li>38&nbsp;ans</li> <li>Première candidature aux primaires</li></ul><br /> <p>Au milieu des septuagénaires, c'est lui le benjamin de la compétition. A 38&nbsp;ans à peine, Pete Buttigieg incarne le renouveau du Parti démocrate et a déjà profité de la précampagne pour se faire un nom, lui que personne ne connaissait ou presque lorsqu'il s'est lancé dans la course début 2019. Maire de la ville moyenne de South Bend (Illinois) pendant huit ans (il a démissionné le 1<sup>er</sup>&nbsp;janvier 2020), il n'a jamais assumé de mandat national, contrairement à la plupart de ses adversaires dans cette primaire.</p> <p>Il est à la fois diplômé de Harvard et vétéran de la guerre d'Afghanistan (où il fut officier de renseignement de la Navy), ouvertement homosexuel et catholique anglican. Et si les Américains ne savent pas vraiment comment prononcer son nom d'origine maltaise, ils commencent à connaître ses positions, qui se rapprochent en bonne partie des idées centristes de Biden et Bloomberg.</p>	http://www.liberation.fr/photo/1291671-pete-buttigieg.jpg?modified_at=1580761767	0	14; 26,3%	9; 24,4%	3; 13,9%	0; 8,2%	0; 0,3%		0; 3,4%	0; 4,4%	0; 3,3%		0; 2,1%	0; 2,7%	0; 1%	0; 1,7%		0; 3,3%	0; 4%	0; 9,9%	0; 2,3%	0; 0,9%		0; 1,3%	0; 1,4%			0; 4,3%																																nevada	Nevada	22/02/2020	Caucus	36	Un débat au temps du coronavirus	Sanders-Biden	https://www.liberation.fr/planete/2020/03/16/primaires-democrates-entre-biden-et-sanders-un-debat-au-temps-du-coronavirus_1781849
sanders	Bernie Sanders	B. Sanders	<ul><li>78&nbsp;ans</li> <li>Deuxième candidature aux primaires (2016)</li></ul><br /> <p>Bernie Sanders n’est plus le challenger bien plus redoutable que prévu de Hillary Clinton, voilà quatre ans. D'outsider en&nbsp;2016 à favori en&nbsp;2020, le sénateur du Vermont s’engage dans sa deuxième primaire démocrate avec une notoriété et un statut bien différents. Mais les mêmes idées&nbsp;: socialiste revendiqué et progressiste radical, il refuse toujours d'adhérer formellement au Parti démocrate tout en essayant de redessiner sa colonne vertébrale.</p> <p>Sauf qu’il n’est, cette fois-ci, plus le seul à incarner l'aile gauche. A commencer par Elizabeth Warren, plusieurs candidats partagent une bonne partie de ses propositions souvent jugées «radicales» en&nbsp;2016&nbsp;: assurance santé universelle («Medicare for all»), gratuité des universités publiques, salaire minimum à 15$ de l'heure, etc. S'il venait à être élu, Bernie Sanders, victime d’une crise cardiaque début octobre, entrerait à la Maison Blanche à 79&nbsp;ans…</p>	http://www.liberation.fr/photo/1291666-bernie-sanders.jpg?modified_at=1580761580	1	12; 26,1%	9; 25,7%	24; 46,8%	15; 19,9%	8; 16,5%		9; 22,4%	221; 35,3%	38; 24,1%	29; 37%	9; 32,9%	31; 26,7%	28; 29,9%	13; 25,4%	0; 10,5%	20; 25%	102; 30%	13; 34,6%	11; 50,7%	31; 23,1%	8; 53,3%	9; 42,5%	52; 36,4%	2; 14,8%	24; 34,6%	42; 35,8%	4; 63,6%	28; 31,7%	59; 22,8%	60; 36%																												south_carolina	Caroline du Sud	29/02/2020	Primaire	54	Une semaine de primaires américaines : la lettre du 13 mars	Le point hebdo	https://www.liberation.fr/planete/2020/03/13/biden-leader-les-questions-de-sanders-a-son-bon-ami-joe-trump-troll-une-semaine-de-primaires-democra_1781445
warren	Elizabeth Warren	E. Warren	<ul><li>70&nbsp;ans</li> <li>Première candidature aux primaires</li></ul><br /> <p>Même si elle fêtera ses 71&nbsp;ans en juin, Elizabeth Warren est un visage relativement neuf au sein du paysage politique américain. Comme Bernie Sanders, qu'elle concurrence directement dans ces primaires, elle incarne l'aile gauche du Parti démocrate&nbsp;: critique de la finance mondialisée, défense des classes populaires et moyennes, discours écologiste fort, encadrement renforcé du port d'armes, annulation partielle de la dette des étudiants, etc.</p> <p>D'origine modeste, ancienne prof de droit à Harvard, elle a d'abord travaillé auprès de Barack Obama à la Maison Blanche avant de devenir sénatrice du Massachusetts en&nbsp;2013. Un poste qui lui a permis d'acquérir rapidement une notoriété nationale et de rêver à la présidence, qu'elle vise pour la première fois. D'autant qu'elle est devenue l'une des cibles préférées de Donald Trump&nbsp;: depuis qu’elle a déclaré avoir du sang Cherokee, il l'appelle «Pocahontas».</p>	http://www.liberation.fr/photo/1291668-elizabeth-warren.jpg?modified_at=1580761618	0	8; 18,1%	0; 9,2%	0; 9,8%	0; 7,1%	0; 5,7%		0; 10%	12; 13,3%	2; 10,5%	8; 17,6%	5; 15,7%	26; 21,4%	10; 15,4%	0; 13,4%	0; 1,4%	1; 10,4%	5; 11,4%	4; 15,4%	0; 12,6%	0; 10,8%		0; 2,6%	0; 1,6%			2; 9,5%																																alabama	Alabama	3/03/2020	Primaire	52	«Bernie Sanders a allumé une flamme qui ne mourra pas»	Reportage	https://www.liberation.fr/planete/2020/03/09/bernie-sanders-a-allume-une-flamme-qui-ne-mourra-pas_1781102
yang	Andrew Yang	A. Yang	<ul><li>45&nbsp;ans</li> <li>Première candidature aux primaires</li></ul><br /> <p>C'est l'un des petits poucets de la campagne, qu'il a embrassée dès novembre&nbsp;2017, dans l'indifférence quasi générale. Entrepreneur et parrain de jeunes entrepreneurs à succès, ce New-Yorkais issu d'une famille d'origine taïwanaise n'a aucune expérience politique et ses chances de devenir le candidat démocrate à la Maison Blanche sont pour ainsi dire nulles.</p> <p>Mais son objectif est plutôt d'influencer le débat avec ses nombreuses propositions. La plus emblématique&nbsp;: l'instauration d'un revenu universel de 1&nbsp;000 dollars pour tous les Américains de 18&nbsp;ans ou plus, qui serait financée par une taxe à la consommation, prélevée sur les biens à chaque étape de leur production. Mais aussi le droit de vote avec son téléphone mobile, une couverture sociale universelle…</p>	http://www.liberation.fr/photo/1291665-andrew-yang.jpg?modified_at=1580761568	0	0; 1%	0; 2,8%																																																								overseas	Américains de l'étranger	3/03/2020	Primaire	13	Les cinq choses à savoir pour comprendre les primaires	Mode d'emploi	https://www.liberation.fr/planete/2020/02/03/etats-unis-tout-comprendre-aux-primaires-democrates_1775574
klobuchar	Amy Klobuchar	A. Klobuchar	<ul><li>59&nbsp;ans</li> <li>Première candidature aux primaires</li></ul><br /> <p>Sénatrice du Minnesota, réélue pour un troisième mandat en 2018 et en place depuis treize ans, Amy Klobuchar est un profil classique d'élue nationale proche de la soixantaine tentant sa chance dans l'aventure des primaires pour la Maison Blanche. Le plus dur est ensuite de rallier autour de son nom&nbsp;: face aux poids lourds engagés dans cette édition 2020, elle a peiné à faire valoir ses idées lors de la pré-campagne, malgré sa participation à l'ensemble des débats télévisés.</p> <p>Son positionnement plutôt centriste, marqué néanmoins par un discours volontaire sur le thème de la santé, semble la condamner à rester dans l'ombre de Joe Biden, entre autres. Elle a tout de même un atout fort&nbsp;: elle est très populaire dans son Etat du Minnesota, au cœur du Midwest, région des Etats-Unis où Trump a fait basculer de nombreux Etats (Michigan, Pennsylvanie, Wisconsin) du rouge au bleu en 2016 et qui s'annonce à nouveau décisive cette année.</p>	http://www.liberation.fr/photo/1291664-amy-klobuchar.jpg?modified_at=1580761552	0	1; 12,3%	6; 19,8%	0; 4,2%	0; 3,1%	0; 0,2%		0; 3,1%	0; 2,3%	0; 2,3%		0; 1,4%	0; 1,2%	0; 5,6%	0; 2,2%		0; 2,1%	0; 2,1%	0; 3,9%	0; 1,4%	0; 0,6%			0; 0,7%			0; 2,2%																																arkansas	Arkansas	3/03/2020	Primaire	31	Enfin comprendre comment le président des Etats-Unis est élu	Tuto	https://www.liberation.fr/apps/2016/11/election-americaine/
steyer	Tom Steyer	T. Steyer	<ul><li>62&nbsp;ans</li> <li>Première candidature aux primaires</li></ul><br /> <p>Avant d'être lui-même candidat, Tom Steyer en a d'abord soutenu beaucoup&nbsp;: Bill Bradley dès&nbsp;2000 puis John Kerry, Hillary Clinton, Barack Obama et à nouveau Hillary Clinton, il a financé de nombreux prétendants démocrates à la Maison Blanche depuis vingt&nbsp;ans, faisant de lui l'un des principaux mécènes du parti en ce début de siècle.</p> <p>La soixantaine passée, il a décidé de passer lui-même à l'attaque. Sa surface financière –&nbsp;il dirige le fonds d'investissement Farallon Capital&nbsp;– lui permet une forte visibilité, mais ses idées n'ont pas vraiment marqué les esprits, même lors des nombreux débats organisés en&nbsp;2019. Seul le réchauffement climatique semble un marqueur fort de son positionnement politique, mais il n'est pas le seul dans les rangs démocrates…</p>	http://www.liberation.fr/photo/1291672-tom-steyer.jpg?modified_at=1580761802	0	0; 0,3%	0; 3,6%	0; 4,6%	0; 11,3%				0; 2%																																																		california	Californie	3/03/2020	Primaire	415			
gabbard	Tulsi Gabbard	T. Gabbard	<ul><li>38&nbsp;ans</li> <li>Première candidature aux primaires</li></ul><br /> <p>Députée depuis&nbsp;2013, Tulsi Gabbard représente Hawaï à la Chambre. Ce n'est pas sa seule particularité : trois ans avant de se lancer dans la primaire démocrate, elle avait rencontré… Donald Trump au lendemain de son élection à la présidence, et a un temps été pressentie pour intégrer son cabinet. En&nbsp;2017, elle a également rencontré Bachar al-Assad lors d'une visite secrète à Damas pour lui apporter son soutien.</p> <p>Gabbard fait néanmoins campagne à gauche du Parti démocrate, puisqu'elle est favorable aux droits LGBT, à un salaire minimum à 15$ ou encore à l'assurance santé universelle. Des positions proches de celles d'Elizabeth Warren ou de Bernie Sanders, ce qui l'a un peu empêché d'exister au cours de la campagne, d'autant qu’elle n’a pas toujours pu participer aux débats organisés par le parti, faute de pouvoir remplir les critères de qualification.</p>	http://www.liberation.fr/photo/1291673-tulsi-gabbard.jpg?modified_at=1580761819	0	0; 0%	0; 3,3%													2; 29,3%																																											north_carolina	Caroline du Nord	3/03/2020	Primaire	110			
other	Autres	Autres		http://www.liberation.fr/photo/1291667-autres.jpg?modified_at=1580761594	0	0; 0,1%	0; 2,8%	0; 0,3%	0; 2%	0; 2,3%		0; 3,9%	0, 2,4%	0; 3,8%	0; 2,3%	0; 1,8%	0; 2,8%	0; 1,2%	0; 4,7%		0; 2,1%	0; 3,6%	0; 2,2%	0; 1,6%	0; 1,6%	0; 6,8%	0; 2,4%	0; 2,4%	0; 4,1%	0; 5,3%	0; 2,2%		0; 24,7%	0; 15,2%	0; 4,9%																												colorado	Colorado	3/03/2020	Primaire	67			
																																																															maine	Maine	3/03/2020	Primaire	24			
																																																															massachusetts	Massachusetts	3/03/2020	Primaire	91			
																																																															minnesota	Minnesota	3/03/2020	Primaire	75			
																																																															oklahoma	Oklahoma	3/03/2020	Primaire	37			
																																																															samoa	Samoa américaines	3/03/2020	Caucus	6			
																																																															tennessee	Tennessee	3/03/2020	Primaire	64			
																																																															texas	Texas	3/03/2020	Primaire	228			
																																																															utah	Utah	3/03/2020	Primaire	29			
																																																															vermont	Vermont	3/03/2020	Primaire	16			
																																																															virginia	Virginie	3/03/2020	Primaire	99			
																																																															north_dakota	Dakota du Nord	10/03/2020	Primaire	14			
																																																															idaho	Idaho	10/03/2020	Primaire	20			
																																																															michigan	Michigan	10/03/2020	Primaire	125			
																																																															mississippi	Mississippi	10/03/2020	Primaire	36			
																																																															missouri	Missouri	10/03/2020	Primaire	68			
																																																															washington	Washington	10/03/2020	Primaire	89			
																																																															northern_mariana_islands	Iles Mariannes du Nord	14/03/2020	Caucus	6			
																																																															arizona	Arizona	17/03/2020	Primaire	67			
																																																															florida	Floride	17/03/2020	Primaire	219			
																																																															illinois	Illinois	17/03/2020	Primaire	155			
																																																															ohio	Ohio	28/04/2020	Primaire	136			
																																																															georgia	Géorgie	19/05/2020	Primaire	105			
																																																															puerto_rico	Puerto Rico	26/04/2020	Primaire	51			
																																																															alaska	Alaska	11/04/2020	Primaire	15			
																																																															hawai	Hawaï	23/05/2020	Primaire	24			
																																																															louisiana	Louisiane	20/06/2020	Primaire	54			
																																																															wyoming	Wyoming	17/04/2020	Caucus	14			
																																																															wisconsin	Wisconsin	7/04/2020	Primaire	84			
																																																															connecticut	Connecticut	2/06/2020	Primaire	60			
																																																															delaware	Delaware	2/06/2020	Primaire	21			
																																																															maryland	Maryland	2/06/2020	Primaire	96			
																																																															new_york	New York	23/06/2020	Primaire	274			
																																																															pennsylvania	Pennsylvanie	2/06/2020	Primaire	186			
																																																															rhode_island	Rhode Island	2/06/2020	Primaire	26			
																																																															guam	Guam	2/05/2020	Caucus	7			
																																																															kansas	Kansas	2/05/2020	Primaire	39			
																																																															indiana	Indiana	2/06/2020	Primaire	82			
																																																															nebraska	Nebraska	12/05/2020	Primaire	29			
																																																															west_virginia	Virginie occidentale	9/06/2020	Primaire	28			
																																																															kentucky	Kentucky	23/06/2020	Primaire	54			
																																																															oregon	Oregon	19/05/2020	Primaire	61			
																																																															south_dakota	Dakota du Sud	2/06/2020	Primaire	16			
																																																															montana	Montana	2/06/2020	Primaire	19			
																																																															new_jersey	New Jersey	2/06/2020	Primaire	126			
																																																															new_mexico	Nouveau Mexique	2/06/2020	Primaire	34			
																																																															washington_dc	Washington D.C.	2/06/2020	Primaire	20			
																																																															virgin_islands	Iles vierges	6/06/2020	Caucus	7			